tenant_id,nama_tenant,booth
T001,PAWTRAIT,
T002,NETASEEC,
T003,CHARMÉ NAILS,
T004,NEXTIZEN,
T005,SOKSY,
T006,CELPUFF,
T007,WEBTRIC,
T008,MONARIZE,
T009,LUMERLICIOUS,
T010,NGEPANG,
T011,KIYOWO KLICK,
T012,LILIT&BUCKET,
T013,KOMOREBI,
T014,MIXOLOGY,
T015,SENJA DI JIWA,
T016,7 BEANS COFFE,
T017,GYOZANYOO,
T018,TERRASCENT,
T019,TECHOME,
T020,WEEBBY,
T021,CHARMETTE,
T022,KATZE CORNER,
T023,MAGIC WATER,
T024,SUEGER POLL,
T025,MYSTICUTIE,
T026,BLOOMIFY,
T027,LASTED MEMORY (LAMORY),
T028,SHOESNEAKCARE,
T029,PANGSIP,
T030,EVAKUASI KOPI,
T031,TOASTERIA,
T032,SANTEA,
T033,CHILLMATE,
T034,FLIKY.ID,
T035,SERENIQUE,
T036,LUNYU- LUMPIA UBI UNGU,
T037,PRINTKOS,
T038,LENS.STUDIO,
T039,BEE.BITES,
T040,PAWCLAY CREATION,
T041,NASI BAKAR AJBS,
T042,MIXCHIPS,
T043,SNACKIN,
T044,DRIPSOLE.ID,
T045,NACHOSAURUS,
T046,RECAP,
T047,LAPERWICH,
T048,CIKI-NI,
T049,YASSRENG,
T050,TERRA SNACK,
T051,SIP & BITE (SEMOGA BERKAH GROUP),
T052,PT.DELICIOUS GROUP,
T053,LUVBITE,
T054,CUSTOMEZONE,
T055,CUKIBECHUGGIE,
T056,BANANA MELTZ,
T057,YAKIKU!,
T058,CLEAN.IT,
T059,SCIENTRIX PERFUME,
T060,YUMMY.SIX,
T061,KUKUSAURUS,
T062,DR GRIZZ CLEAN,
T063,LUBERINN,
T064,EATWELL,
T065,TAMARÉ,
T066,"JEDA, COFFE",
T067,NAWASENA,
T068,KEYLIC,
T069,NATURELICIOUS.CO,
T070,THE BOX OF SECRET,
T071,BAKUNGOPI,
T072,CANDLECO.ID,
T073,BANANA CAMPUS,
T074,MACLAB,
T075,MOST DE VIVRE,
T076,SCOOPAHOLIC,
T077,BIND!,